Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Page_CURA Healthcare Service/textarea_Comment_comment""), ""test"")",Chrome 106.0.0.0,,,2022-10-31 14:12:47,2022-10-31 14:12:47,0.811s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 106.0.0.0,,,2022-10-31 14:12:47,2022-10-31 14:12:48,0.593s,PASSED
"fasility = getText(findTestObject(""Page_CURA Healthcare Service/facility""))",Chrome 106.0.0.0,,,2022-10-31 14:12:48,2022-10-31 14:12:48,0.316s,PASSED
"hospital = getText(findTestObject(""Page_CURA Healthcare Service/hospital_readmission""), STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-31 14:12:48,2022-10-31 14:12:49,0.304s,PASSED
"program = getText(findTestObject(""Page_CURA Healthcare Service/program""), STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-31 14:12:49,2022-10-31 14:12:49,0.320s,PASSED
"comment = getText(findTestObject(""Page_CURA Healthcare Service/comment""), STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-31 14:12:49,2022-10-31 14:12:49,0.406s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 106.0.0.0,,,2022-10-31 14:12:49,2022-10-31 14:12:50,0.928s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 106.0.0.0,,,2022-10-31 14:12:50,2022-10-31 14:12:51,0.386s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Logout""))",Chrome 106.0.0.0,,,2022-10-31 14:12:51,2022-10-31 14:12:52,1.150s,PASSED
closeBrowser(),Chrome 106.0.0.0,,,2022-10-31 14:12:52,2022-10-31 14:12:52,0.718s,PASSED
println(fasility),Chrome 106.0.0.0,,,2022-10-31 14:12:52,2022-10-31 14:12:52,0.000s,PASSED
println(hospital),Chrome 106.0.0.0,,,2022-10-31 14:12:52,2022-10-31 14:12:52,0.000s,PASSED
println(program),Chrome 106.0.0.0,,,2022-10-31 14:12:52,2022-10-31 14:12:52,0.000s,PASSED
println(comment),Chrome 106.0.0.0,,,2022-10-31 14:12:52,2022-10-31 14:12:52,0.000s,PASSED
,,,,,,,
Test Cases/TC-2-7-N,Chrome 106.0.0.0,To ensure user can't login on mandatory password field,,2022-10-31 14:12:52,2022-10-31 14:13:03,10.069s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com"")",Chrome 106.0.0.0,,,2022-10-31 14:12:53,2022-10-31 14:12:57,4.565s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 106.0.0.0,,,2022-10-31 14:12:57,2022-10-31 14:12:58,0.766s,PASSED
"verifyElementPresent(findTestObject(""Page_CURA Healthcare Service/h2_Login""), 0)",Chrome 106.0.0.0,,,2022-10-31 14:12:58,2022-10-31 14:12:58,0.303s,PASSED
"verifyElementPresent(findTestObject(""Page_CURA Healthcare Service/label_Demo account""), 0)",Chrome 106.0.0.0,,,2022-10-31 14:12:58,2022-10-31 14:12:59,0.286s,PASSED
"verifyElementPresent(findTestObject(""Page_CURA Healthcare Service/p_Please login to make appointment""), 0)",Chrome 106.0.0.0,,,2022-10-31 14:12:59,2022-10-31 14:12:59,0.289s,PASSED
"verifyElementPresent(findTestObject(""Page_CURA Healthcare Service/label_Demo account""), 0)",Chrome 106.0.0.0,,,2022-10-31 14:12:59,2022-10-31 14:12:59,0.304s,PASSED
"verifyElementPresent(findTestObject(""Page_CURA Healthcare Service/label_Username""), 0)",Chrome 106.0.0.0,,,2022-10-31 14:12:59,2022-10-31 14:12:59,0.288s,PASSED
"verifyElementPresent(findTestObject(""Page_CURA Healthcare Service/label_Password""), 0)",Chrome 106.0.0.0,,,2022-10-31 14:12:59,2022-10-31 14:13:00,0.292s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), ""Username"")",Chrome 106.0.0.0,,,2022-10-31 14:13:00,2022-10-31 14:13:00,0.640s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), """")",Chrome 106.0.0.0,,,2022-10-31 14:13:00,2022-10-31 14:13:01,0.656s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Chrome 106.0.0.0,,,2022-10-31 14:13:01,2022-10-31 14:13:02,0.871s,PASSED
closeBrowser(),Chrome 106.0.0.0,,,2022-10-31 14:13:02,2022-10-31 14:13:03,0.615s,PASSED
